1,2,3,4,5
481425,92100,152288,419343,481878
448321,82457,131541,380662,438913
371237,78350,121384,344128,384267
622888,108966,167093,504174,571894
426657,82238,128365,398188,427366
478590,75974,118574,345100,392609
477508,85260,144625,422325,478198
732654,136258,204346,694753,908395
612015,108116,180961,537498,607685
409048,76250,121704,356468,436148
685193,121983,204597,589034,676008
478562,83356,145843,408691,595714
648573,122850,196252,569719,712569
484459,90276,143541,414510,501543
648630,118907,186123,546020,593432
469636,80337,133586,373879,429158
480619,90269,142986,415677,477431
400272,81428,126159,352805,434669
551109,103266,164044,481134,550421
608863,195587,278983,557747,624367
729928,154282,169478,340878,407060
682961,127903,220072,457698,387839
369552,82323,122976,344365,383378
1317317,223059,393294,1085949,1014081
875876,149838,251897,794069,922931
690460,122562,206631,599700,717921
524581,94289,150650,437430,497371
458476,86077,135173,399682,457043
577836,108426,167111,507556,570715
502019,109475,158456,429568,499288
369644,78279,126173,340293,385733
579358,109477,172634,690118,488047
686807,125304,194701,610405,692250
443643,84365,132827,384194,438152
840799,157168,291322,338072,401514
730539,138625,265446,683276,728893
685625,131804,193261,601355,679099
698854,100813,209675,536835,635260
648275,124946,188927,563477,618399
781641,158440,374566,886155,420433
729800,123672,219233,624525,755045
729537,82571,121279,339457,459687
685630,138113,193172,566940,643654
474038,82624,132759,384276,439962
442205,80661,120319,368363,421695
411908,77364,119776,358028,407271
648101,153126,205210,574068,643316
442887,77677,121307,357219,405595
705686,152370,195243,567117,637737
602146,103819,157450,502159,578640
395124,66605,119420,345084,393663
568089,91543,149914,426656,526718
457614,78658,124079,377323,465253
575916,103485,173615,506418,578752
371746,81001,123786,345858,388403
371296,82452,121513,341748,392585
751607,150761,219726,710707,729635
840471,157917,182851,342696,388513
715693,129368,205594,600703,683682
367783,80789,125402,367027,488097
478923,89800,196859,371522,421671
390192,82212,182740,343373,384503
832262,140984,236858,642508,733654
505936,90225,143523,424510,578115
439957,83174,132245,379646,445921
439936,101188,181314,384511,438248
739142,88285,122702,345041,510215
781027,146174,235319,742323,394472
528991,115383,151205,457379,520678
443803,122083,185047,417324,570153
478944,75026,119538,345652,394147
395075,74891,118735,344707,392210
395173,74935,120223,347701,393141
439062,100481,125230,367844,429605
782443,144480,234873,483140,388071
427505,80434,127357,373125,420423
502692,94750,156353,473298,537954
381495,79337,124199,352112,396713
1226041,214833,360975,1077160,1184646
644394,126626,199356,573287,392742
577460,125321,248008,505530,626699
431723,80773,127351,395651,423544
459453,82380,137629,402603,453467
758528,71553,119093,343915,393122
577908,102609,174016,494667,635213
394635,75136,119122,344744,390652
608275,103889,165778,516508,555419
688712,166577,273577,627156,708672
685033,127942,204860,589142,384790
370813,80156,120998,342553,382960
583248,110188,207400,480762,719059
445842,122108,150343,404216,457073
459640,121430,157106,417414,470749
577864,108213,172400,505406,617056
613054,94684,151726,437966,496916
503699,72112,119147,345918,390465
690703,72482,120093,347447,388288
1016015,79410,124838,354235,394962
597703,108004,181602,509545,612636
701047,128606,205236,601670,694330
434954,82824,128279,381642,444583
635183,114714,234989,547377,624665
401230,74876,118010,345105,392837
687474,127731,206473,601984,684020
477103,86487,151514,418918,471721
571349,137876,168745,458945,548473
644705,169382,218686,584591,666879
642076,136803,193853,564070,647576
482653,90424,145188,421288,473704
441095,83595,128589,381330,466342
901920,129445,207714,603657,681355
547381,103780,164295,477448,548794
381349,82548,124603,350812,397170
682993,126864,206350,598734,675241
582481,98861,186354,641687,556010
383640,119680,127179,332976,379955
372791,102084,124412,335833,423682
463060,87600,138733,400808,458539
396871,74035,118442,345256,390754
512944,90580,139645,416505,473559
427120,80032,127441,373973,421083
746969,136965,219115,637294,726260
608554,163774,212104,573372,626967
581008,105396,181486,559673,577125
440477,83224,132627,385727,438252
727705,132866,223946,652233,622022
460387,79659,134031,401020,457537
547100,109563,166002,488665,877624
410491,77485,122800,357783,446945
927604,146208,238023,687246,584900
640666,108819,173630,504108,572930
457619,85435,144339,401922,459380
401706,75049,118468,342905,391116
417108,74613,115613,342031,386608
383965,82248,125264,353285,397742
463124,86664,137285,399292,451955
481349,80751,128971,373848,414001
779589,148050,255638,708476,965849
1063096,234138,371652,1085288,1257414
442846,97550,167707,424884,498578
551640,102696,163581,480969,547272
799561,98084,124940,335197,382180
772989,70480,115548,391779,395403
434570,71741,118584,340593,506905
763319,215273,280229,642524,543926
652744,121836,193344,554769,640056
370473,82367,125764,341460,383405
636911,114824,183069,590612,600706
609535,159223,203765,546740,635838
446117,120597,140869,393540,487878
545114,106321,163442,497353,555777
575665,142903,173590,505398,573192
393919,73530,118546,343712,391067
600819,113597,181644,562840,606134
805911,147988,234365,1002226,1205069
521336,97691,156454,600326,594129
548576,102605,163844,480748,544626
406327,77537,202800,358477,405292
647241,114934,183593,601430,609791
456797,81402,137788,395887,455139
953089,93764,161602,460272,523430
434877,76426,122445,356683,402519
736159,152947,219050,634345,733275
425075,79956,125887,364468,421181
577727,72603,120203,342537,384201
478496,96052,145743,459449,483181
480314,129335,162544,433709,489749
725064,134625,222535,634681,599786
522540,115181,157416,456092,521842
740327,120946,192745,558732,633604
698843,113591,192439,711405,649026
732153,201787,138490,355475,404422
423759,76092,126790,372196,421907
397263,74306,123429,346763,392603
547082,103035,163473,478504,541969
671138,151898,165049,529538,722512
569596,86437,139092,451820,459670
553496,102218,168400,550131,549618
522784,98593,164108,495387,521776
411340,75233,125180,360831,407008
442150,83303,133069,415011,439204
528719,81600,129033,364648,418555
522971,85415,138415,426270,452692
837569,153559,246771,666798,386108
691695,127889,199042,590933,678100
545068,75161,121860,343206,386641
648925,120877,195265,565834,653371
514820,93695,150187,440328,511775
369261,82507,118722,333444,388508
642652,114976,186413,564044,668156
609504,111114,175121,498027,394617
443042,77384,120163,345634,394349
370909,82428,139442,357540,389019
783771,135828,220626,678017,731436
729056,137461,218453,637434,720321
